returnAddress	amount	tokenSymbol	tokenAddr	oldWallet	newWallet
'0x67faa7a9700f22e7c88cf7e099e58baf59a45fbb	'209000000000000000000000775	'CFI	'0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e	'0x3fec3c6e014e28566000a1be3cfcb43327d4b743	'0x67faa7a9700f22e7c88cf7e099e58baf59a45fbb
'0x67faa7a9700f22e7c88cf7e099e58baf59a45fbb	'44227178000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x3fec3c6e014e28566000a1be3cfcb43327d4b743	'0x67faa7a9700f22e7c88cf7e099e58baf59a45fbb
'	'80907910000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xccfa829f12bd1b7618702ace114a0e464f311f6e	'0x69cffa8f3b4f527c70545ffc297efb560375cca2
'	'10000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x8e4b3eadf078a80a3308da16fce741c2c20305a1	'0x6cd1c3fba48173c939eff12f0e2f68aaf78115a5
'	'469324257000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xc511c9934e9e314da30dffa170d6eb33947ec4bc	'0x6d5ef24fe5b030a71be9ada084b56e689f1e6a8a
'	'10000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x2270be634ed8130a0402cd106de1f04ea35fa0a9	'0x6e1fe030ec2976da90c6f2c99a2b6c271fb525ad
'	'9000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xfae8014dc8bd8806421dfa4c538a770b3d3541dd	'0x6fd2dfa7ff3202488c37b2a0a7b2e03b1568a8fa
'	'78550342580000000000	'ICN	'0x888666ca69e0f178ded6d75b5726cee99a87d698	'0xfbbe877a949e8eb1db740ebb3ef020b20b9fbbfa	'0x70edd2792258ee33f0a2e32dfbb51164fceacd30
'	'870000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xcf6fd94d077a08f4e800ad01ba4faa01d9c27779	'0x7154e177056d12ad3f8e096f5f43c63aa0df485c
'	'50000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x5eef2747f49ce446f10036ddf48af6b27c3d61b7	'0x71e896ca700ffd0741499822e2ff470b232c43dc
'	'19000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x8f4b3c36196a4c94c69debded3060424e339c2ea	'0x7475d67c4baa1b62a7d84cb2aa5616ce82f35a04
